REC no.,Record name,Field label,Field key (HTML id),Input type,Required,Where on form,Suggested class
Dry Export Pack Front Page,Dry Export Pack Front Page,Packing date,packingDate,date,Yes,section,B - Line-item event
Live Leftovers Log,Live Leftovers Log,Date,date,date,Yes,section,A - Record header date
Master Cleaning Checklist,Master Cleaning Checklist (New Plant),Week of,weekOf,date,Yes,section,A - Record header date
Master Cleaning Plan,Master Cleaning Plan,Effective date,effectiveDate,date,Yes,section,B - Line-item event
Mortalities Log,Mortalities Log,Date,date,date,Yes,section,A - Record header date
Mortality Counts by Customer,Mortality Counts by Customer,Date,date,date,Yes,section,A - Record header date
Production Information NRCS (Canning),Production Information NRCS (Canning),Receiving date,receivingDate,date,Yes,section,B - Line-item event
Production Information NRCS (Canning),Production Information NRCS (Canning),Date of inspection,dateOfInspection,date,,section,B - Line-item event
Production Information NRCS (Dry),Dry NRCS Packs — Production Information NRCS,Receiving date,receivingDate,date,Yes,section,B - Line-item event
Production Information NRCS (Dry),Dry NRCS Packs — Production Information NRCS,Date of inspection,dateOfInspection,date,,section,B - Line-item event
Production Information NRCS (Dry),Dry NRCS Packs — Production Information NRCS,Job number / production date,jobNumberProductionDate,text,,section,B - Line-item event
Production Information NRCS (Rework),Production Information NRCS (Rework),Rework date,reworkDate,date,Yes,section,B - Line-item event
Production Information NRCS (Rework),Production Information NRCS (Rework),Date of inspection,dateOfInspection,date,,section,B - Line-item event
QA1,Damaged Cans and Lids,Date,date,date,Yes,section,A - Record header date
QA1,Damaged Cans and Lids,Pallet number and production date,palletNumberProductionDate,text,,section,B - Line-item event
REC 01,Cans Released Form (Awaiting NRCS Releases),Date,date,date,Yes,section,A - Record header date
REC 1,Gonad Inspection Report,Date,date,date,Yes,section,A - Record header date
REC 6.1.2,Training Register,Date,date,date,Yes,section,A - Record header date
REC 7.1,Incubator Cans Log,Date in,dateIn,date,Yes,section,B - Line-item event
REC 7.1,Incubator Cans Log,Date out for micro,dateOutForMicro,date,,section,B - Line-item event
REC 7.1,Incubator Cans Log,Date cleared,dateCleared,date,,section,B - Line-item event
REC 7.1,Incubator Cans Log,Cleared by — date,clearedByDate,date,,section,C - Sign-off / audit
REC 7.1.0,Daily Weight Sampling,Date,date,date,Yes,section,A - Record header date
REC 7.1.00,Fixed Reader Checks,Date,date,date,Yes,section,A - Record header date
REC 7.1.1,"Basket Removal, Shucking & Gutting",Intake date,intakeDate,date,Yes,section,B - Line-item event
REC 7.1.2,Abalone Receiving,Receiving date,receivingDate,date,Yes,section,B - Line-item event
REC 7.1.3,Salting and Tumbling,Date,date,date,Yes,section,A - Record header date
REC 7.1.3.1,Bleeding and Salting,Date,date,date,Yes,section,A - Record header date
REC 7.1.4,Washing Control Sheet,Date,date,date,Yes,section,A - Record header date
REC 7.1.5,Salting (OOSW),Intake date,intakeDate,date,Yes,section,B - Line-item event
REC 7.1.5,Salting (OOSW),Supervisor date,supervisorDate,date,,section,C - Sign-off / audit
REC 7.1.6,Scrubbing Check - Supervisor,Intake date,intakeDate,date,Yes,section,B - Line-item event
REC 7.1.6,Scrubbing Check - Supervisor,Date,date,date,,section,A - Record header date
